uid,pmcid,title,journal,pubdate,authors,doi
8387908,PMC8387908,Maintenance therapy with subcutaneous immunoglobulin in a patient with immune-mediated neuropathic postural tachycardia syndrome.,J Transl Autoimmun,2021,Pitarokoili K; Maier A; de Moya Rubio EC; Hahn K; Wallukat G; Athanasopoulos D; Grüter T; Motte J; Fisse AL; Gold R,10.1016/j.jtauto.2021.100112
8405341,PMC8405341,Clinical and Laboratory Improvement in Hyperadrenergic Postural Orthostatic Tachycardia Syndrome (POTS) after COVID-19 Infection.,Case Rep Cardiol,2021,Ocher RA; Padilla E; Hsu JC; Taub PR,10.1155/2021/7809231
8204164,PMC8204164,COVID-19-induced postural orthostatic tachycardia syndrome treated with ivabradine.,BMJ Case Rep,2021 Jun 14,O'Sullivan JS; Lyne A; Vaughan CJ,10.1136/bcr-2021-243585
8137224,PMC8137224,Novel vaccine safety issues and areas that would benefit from further research.,BMJ Glob Health,2021 May,Salmon DA; Lambert PH; Nohynek HM; Gee J; Parashar UD; Tate JE; Wilder-Smith A; Hartigan-Go KY; Smith PG; Zuber PLF,10.1136/bmjgh-2020-003814
8112930,PMC8112930,POTS and Antiphospholipid Syndrome: An Unlikely Association.,Case Rep Rheumatol,2021,Zee K; Qureshi S,10.1155/2021/9942668
8149255,PMC8149255,Association between Postural Orthostatic Tachycardia Syndrome and Joint Hypermobility.,Case Rep Cardiol,2021,Atuesta-Rodriguez AJ; Medina-Velasquez YF; Motta O; Narvaez-Reyes MI; Rondon-Herrera F,10.1155/2021/8875003
8121406,PMC8121406,Dysautonomia: A Forgotten Condition - Part 1.,Arq Bras Cardiol,2021 Apr,Rocha EA; Mehta N; Távora-Mehta MZP; Roncari CF; Cidrão AAL; Elias Neto J,10.36660/abc.20200420
8117457,PMC8117457,COVID and Cardiovascular Disease: What We Know in 2021.,Curr Atheroscler Rep,2021 May 13,Chilazi M; Duffy EY; Thakkar A; Michos ED,10.1007/s11883-021-00935-2
8091396,PMC8091396,POSTURAL ORTHOSTATIC TACHYCARDIA SYNDROME IN SIX PATIENTS FOLLOWING COVID-19 INFECTION.,J Am Coll Cardiol,2021 May 11,Parker W; Moudgil R; Singh T,10.1016/S0735-1097(21)04518-6
8076737,PMC8076737,COVID-19 Dysautonomia.,Front Neurol,2021,Goodman BP; Khoury JA; Blair JE; Grill MF,10.3389/fneur.2021.624968
8050227,PMC8050227,Autonomic dysfunction following COVID-19 infection: an early experience.,Clin Auton Res,2021 Jun,Shouman K; Vanichkachorn G; Cheshire WP; Suarez MD; Shelly S; Lamotte GJ; Sandroni P; Benarroch EE; Berini SE; Cutsforth-Gregory JK; Coon EA; Mauermann ML; Low PA; Singer W,10.1007/s10286-021-00803-8
8045944,PMC8045944,gAChR antibodies in children and adolescents with acquired autoimmune dysautonomia in Japan.,Ann Clin Transl Neurol,2021 Apr,Yamakawa M; Watari M; Torii KI; Kuki I; Miharu M; Kawazu M; Mukaino A; Higuchi O; Maeda Y; Ikeda T; Takamatsu K; Tawara N; Nakahara K; Matsuo H; Ueda M; Takahashi T; Nakane S,10.1002/acn3.51317
8009458,PMC8009458,Postural orthostatic tachycardia syndrome (POTS) and other autonomic disorders after COVID-19 infection: a case series of 20 patients.,Immunol Res,2021 Apr,Blitshteyn S; Whitelaw S,10.1007/s12026-021-09185-5
7976723,PMC7976723,Long-COVID postural tachycardia syndrome: an American Autonomic Society statement.,Clin Auton Res,2021 Jun,Raj SR; Arnold AC; Barboi A; Claydon VE; Limberg JK; Lucci VM; Numan M; Peltier A; Snapper H; Vernino S; American Autonomic Society,10.1007/s10286-021-00798-2
7946344,PMC7946344,Long-Haul Post-COVID-19 Symptoms Presenting as a Variant of Postural Orthostatic Tachycardia Syndrome: The Swedish Experience.,JACC Case Rep,2021 Apr,Johansson M; Ståhlberg M; Runold M; Nygren-Bonnier M; Nilsson J; Olshansky B; Bruchfeld J; Fedorowski A,10.1016/j.jaccas.2021.01.009
7936931,PMC7936931,Is postural orthostatic tachycardia syndrome (POTS) a central nervous system disorder?,J Neurol,2022 Feb,Blitshteyn S,10.1007/s00415-021-10502-z
7888977,PMC7888977,Postural orthostatic tachycardia syndrome following open thoracoabdominal aortic aneurysm repair.,J Surg Case Rep,2021 Feb,Manuel L; Fong LS; Mamo A; Varcoe R; Saw W; Grant P,10.1093/jscr/rjab012
7813764,PMC7813764,Adalimumab as a potential treatment for postural orthostatic tachycardia syndrome.,HeartRhythm Case Rep,2021 Jan,Hendrix A; Nesheiwat Z; Towheed A; Brar V; Grubb BP,10.1016/j.hrcr.2020.11.003
7792263,PMC7792263,Serum Activity Against G Protein-Coupled Receptors and Severity of Orthostatic Symptoms in Postural Orthostatic Tachycardia Syndrome.,J Am Heart Assoc,2020 Aug 4,Kharraziha I; Axelsson J; Ricci F; Di Martino G; Persson M; Sutton R; Fedorowski A; Hamrefors V,10.1161/JAHA.120.015989
7685310,PMC7685310,New-onset Postural Orthostatic Tachycardia Syndrome Following Coronavirus Disease 2019 Infection.,J Innov Card Rhythm Manag,2020 Nov,Kanjwal K; Jamal S; Kichloo A; Grubb BP,10.19102/icrm.2020.111102
7274189,PMC7274189,"Hospital Records of Pain, Fatigue, or Circulatory Symptoms in Girls Exposed to Human Papillomavirus Vaccination: Cohort, Self-Controlled Case Series, and Population Time Trend Studies.",Am J Epidemiol,2020 Apr 2,Thomsen RW; Öztürk B; Pedersen L; Nicolaisen SK; Petersen I; Olsen J; Sørensen HT,10.1093/aje/kwz284
7255540,PMC7255540,Ivabradine in Postural Orthostatic Tachycardia Syndrome: A Review of the Literature.,Cureus,2020 Apr 28,Tahir F; Bin Arif T; Majid Z; Ahmed J; Khalid M,10.7759/cureus.7868
7139175,PMC7139175,Infectious mononucleosis complicated by peritonsillar abscess and postural orthostatic tachycardia syndrome: A case report.,SAGE Open Med Case Rep,2020,Yaxley KL,10.1177/2050313X20915413
6806054,PMC6806054,Hop to It: The First Animal Model of Autoimmune Postural Orthostatic Tachycardia Syndrome.,J Am Heart Assoc,2019 Oct,Miller AJ; Doherty TA,10.1161/JAHA.119.014084
5926514,PMC5926514,Postural Tachycardia Syndrome and Vasovagal Syncope: A Hidden Case of Obstructive Cardiomyopathy without Severe Septal Hypertrophy.,Case Rep Cardiol,2018,Mayuga KA; Ho N; Shields RW Jr; Cremer P; Rodriguez LL,10.1155/2018/8714819
5845505,PMC5845505,From Postural Orthostatic Tachycardia Syndrome to Radiologically Isolated Syndrome.,Case Rep Neurol Med,2018,Tripathi R; Bernitsas E,10.1155/2018/2956387
5778345,PMC5778345,"Successful treatment of postural orthostatic tachycardia and mast cell activation syndromes using naltrexone, immunoglobulin and antibiotic treatment.",BMJ Case Rep,2018 Jan 11,Weinstock LB; Brook JB; Myers TL; Goodman B,10.1136/bcr-2017-221405
5414293,PMC5414293,Application of real-time global media monitoring and 'derived questions' for enhancing communication by regulatory bodies: the case of human papillomavirus vaccines.,BMC Med,2017 May 2,Bahri P; Fogd J; Morales D; Kurz X; ADVANCE consortium,10.1186/s12916-017-0850-4
5209415,PMC5209415,Current Safety Concerns with Human Papillomavirus Vaccine: A Cluster Analysis of Reports in VigiBase(®).,Drug Saf,2017 Jan,Chandler RE; Juhlin K; Fransson J; Caster O; Edwards IR; Norén GN,10.1007/s40264-016-0456-3
4930805,PMC4930805,Cooccurrence of Postural Orthostatic Tachycardia Syndrome with Two Different Clinical Entities.,Case Rep Pediatr,2016,Oztunc F; Ugan Atik S; Dedeoglu R; Erbek Alp F; Gokalp S,10.1155/2016/8542158
4528866,PMC4528866,"Postural Orthostatic Tachycardia With Chronic Fatigue After HPV Vaccination as Part of the ""Autoimmune/Auto-inflammatory Syndrome Induced by Adjuvants"": Case Report and Literature Review.",J Investig Med High Impact Case Rep,2014 Jan-Mar,Tomljenovic L; Colafrancesco S; Perricone C; Shoenfeld Y,10.1177/2324709614527812
4502630,PMC4502630,A Case Report and Review of Postural Orthostatic Tachycardia Syndrome in Pregnancy.,AJP Rep,2015 Apr,Lide B; Haeri S,10.1055/s-0034-1544106
4452321,PMC4452321,Treatment of Refractory Postural Tachycardia Syndrome with Subcutaneous Octreotide Delivered Using an Insulin Pump.,Case Rep Med,2015,Khan M; Ouyang J; Perkins K; Somauroo J; Joseph F,10.1155/2015/545029
4177336,PMC4177336,Orthostatic plasma norepinephrine level as a predictor for therapeutic response to metoprolol in children with postural tachycardia syndrome.,J Transl Med,2014 Sep 10,Zhang Q; Chen X; Li J; Du J,10.1186/s12967-014-0249-3
3443665,PMC3443665,Postural orthostatic tachycardia syndrome after surgical correction of an aortic coarctation: a case report.,J Med Case Rep,2012 Aug 13,Fernex L; Coeytaux A; Rochat T; Karaca S; Perrig S; Burri H; Nendaz MR,10.1186/1752-1947-6-241
3200026,PMC3200026,Peripheral odontogenic fibroma: A case report and review.,J Indian Soc Periodontol,2011 Jul,Baiju CS; Rohatgi S,10.4103/0972-124X.85674
2995161,PMC2995161,Potentially new indication of ivabradine: treatment of a patient with postural orthostatic tachycardia syndrome.,Open Cardiovasc Med J,2010 Aug 9,Hersi AS,10.2174/1874192401004010166
2602994,PMC2602994,Takotsubo cardiomyopathy in two female patients: two case reports.,Cases J,2008 Nov 18,Turley A; Graham R; Hall J,10.1186/1757-1626-1-325
